Min seam : 447577.193431
[ 4756.           458.           173.63516649]
[ 4755.           456.            22.94740192]
[ 4754.           455.            20.70494503]
[ 4753.           454.           115.00624876]
[ 4752.           453.            92.51444954]
[ 4751.           454.             7.61663401]
[ 4750.           453.            95.07471108]
[ 4749.           452.             6.48349167]
[ 4748.           451.           130.43755743]
[ 4747.           450.           172.76850143]
[ 4746.           449.             6.19052766]
[ 4745.           448.            79.86762178]
[ 4744.           448.           146.60610473]
[  4.74300000e+03   4.47000000e+02   4.22487811e+00]
[ 4742.           448.            83.57650659]
[ 4741.           449.            14.37503596]
[ 4740.           450.            51.23824691]
[ 4739.           450.           105.24322193]
[ 4738.           451.            81.30888397]
[ 4737.           450.             8.05865643]
[ 4736.           452.            90.08187689]
[ 4735.           453.           104.95501442]
[ 4734.           452.            30.94023668]
[  4.73300000e+03   4.52000000e+02   4.15507950e+00]
[ 4732.           451.           162.63734343]
[ 4731.          451.          280.1121556]
[ 4730.           450.           158.49141131]
[ 4729.           449.             9.17186987]
[ 4728.           450.            25.92580576]
[ 4727.           450.            87.89241447]
[ 4726.           450.            68.84671857]
[ 4725.           450.           240.11720053]
[ 4724.           451.           153.17153747]
[ 4723.           452.           124.02759247]
[ 4722.           452.            10.81308909]
[ 4721.           453.            50.75609803]
[  4.72000000e+03   4.52000000e+02   3.69930896e+00]
[ 4719.           452.           118.06889244]
[ 4718.          451.           12.0652909]
[ 4717.           452.           102.09011168]
[ 4716.           453.            12.33308462]
[ 4715.          453.           77.8425523]
[ 4714.           452.             8.37868389]
[ 4713.           451.           115.95443003]
[ 4712.           450.            83.22263788]
[ 4711.           450.             9.67505868]
[ 4710.           450.            84.19493753]
[ 4709.           450.            17.45210289]
[ 4708.           448.            39.92114504]
[ 4707.          449.          186.3313387]
[ 4706.           448.            11.79644295]
[ 4705.           448.            25.66215473]
[ 4704.           447.           215.57511756]
[  4.70300000e+03   4.46000000e+02   1.95869795e+00]
[ 4702.           447.            18.04693161]
[ 4701.           448.           135.06315305]
[ 4700.           449.            90.86436312]
[ 4699.           450.            59.87853766]
[ 4698.           448.           221.32408757]
[ 4697.           447.           174.14422238]
[ 4696.           446.             9.87545456]
[ 4695.           447.            21.01876431]
[ 4694.           448.           141.25290003]
[ 4693.           447.            83.69535542]
[ 4692.           446.            50.69911887]
[ 4691.           447.            90.15232706]
[ 4690.          448.            8.5209654]
[ 4689.           449.           103.21759633]
[ 4688.           448.           100.51864431]
[ 4687.           448.            13.22318687]
[ 4686.           446.           164.60012897]
[ 4685.           447.             6.93796267]
[ 4684.           447.            93.60668757]
[ 4683.           445.           257.58071787]
[ 4682.           445.            98.10631024]
[ 4681.           445.            82.37321539]
[ 4680.           444.            18.15103005]
[ 4679.           444.            82.21818377]
[ 4678.           444.            29.52365382]
[ 4677.          445.           41.9659181]
[ 4676.          446.           12.2960949]
[ 4675.           446.           173.89320175]
[ 4674.           446.            71.18926844]
[ 4673.           445.            34.29742094]
[ 4672.           444.            42.77944854]
[ 4671.           445.            68.04640919]
[ 4670.           445.            83.78378958]
[ 4669.           445.            79.66560262]
[ 4668.           447.           219.85044753]
[ 4667.           448.            11.30990823]
[ 4666.           448.            25.50538546]
[ 4665.           449.            63.04029666]
[  4.66400000e+03   4.50000000e+02   2.08962918e-01]
[ 4663.           452.           195.23017843]
[ 4662.           451.            20.13543912]
[ 4661.           452.            54.18228485]
[ 4660.           452.             6.21523925]
[ 4659.           453.             6.47871139]
[ 4658.           452.           159.84405602]
[ 4657.           450.            24.30012491]
[ 4656.           451.            16.64096992]
[ 4655.           450.             9.15929842]
[ 4654.           449.            86.35641512]
[  4.65300000e+03   4.49000000e+02   1.32665150e+00]
[ 4652.           450.           284.16078586]
[ 4651.           449.            46.35176279]
[ 4650.           448.           149.47703399]
[ 4649.           447.            60.92104831]
[ 4648.          446.          147.1134392]
[ 4647.           445.           350.34719351]
[ 4646.           444.           108.16439805]
[ 4645.           442.            43.49639573]
[ 4644.           441.           177.55538537]
[  4.64300000e+03   4.41000000e+02   4.22440074e-01]
[ 4642.           440.            94.09782255]
[ 4641.           438.           301.24015592]
[ 4640.           438.           151.46077875]
[ 4639.           438.            45.45762144]
[ 4638.           439.            34.83620267]
[ 4637.           437.            97.62135802]
[ 4636.           439.           159.15724289]
[ 4635.           438.           222.97754068]
[ 4634.           438.            48.08338163]
[ 4633.           436.            17.51235797]
[ 4632.           436.           110.12571468]
[ 4631.           435.            42.22521621]
[ 4630.           434.           178.77091011]
[ 4629.           433.            63.43201248]
[ 4628.           432.           274.82613118]
[ 4627.           432.            76.80954731]
[ 4626.           430.           172.74683626]
[ 4625.           430.           153.25543171]
[ 4624.           430.            45.86361404]
[ 4623.           431.            58.01717506]
[ 4622.           430.            87.40466191]
[ 4621.           429.            57.32022577]
[ 4620.           429.            26.61297011]
[ 4619.           429.            44.37053877]
[ 4618.           428.            96.19240139]
[ 4617.           430.           157.23866157]
